index,sentence,year,label,orig_index,label_name,word_count,char_count,llm_label_str,llm_label
169,But this belief will persist only as long as we on the Federal Open Market Committee continue to ratify the publicâ€™s expectations that inflation will remain low and stable.,2006,1,167,Hawkish,29,174,HAWKISH,1
387,"In 1951, the Treasury-Federal Reserve Accord freed the Fed from the obligation to support Treasury bond prices.",2022,2,376,Neutral,17,111,NEUTRAL,2
556,"Monetary Policy Spillovers Flow in Both Directions There is a vast literature that documents the existence of international spillovers from U.S. monetary policy, especially to emerging markets (EMs).",2021,2,538,Neutral,28,199,NEUTRAL,2
797,"Some participants suggested that shifts of funds from abroad into U. S. Treasury securities may have put downward pressure on term premiums; the shifts, in turn, may have reflected in part a reaction to declines in foreign sovereign yields in response to actual and anticipated monetary policy actions abroad.",2009,2,754,Neutral,49,309,NEUTRAL,2
798,"Some participants suggested that the persistently high level of unemployment reflected the impact of structural factors, including mismatches between the skills of the unemployed and the skills demanded in sectors in which jobs were currently available.",2017,2,755,Neutral,36,253,NEUTRAL,2
470,Increased rates and a smaller balance sheet raise the cost of borrowing and thus reduce household and business demand.,2019,2,455,Neutral,19,118,HAWKISH,1
275,"However, some participants noted that the recent rise in the prices of oil and other commodities, as well as increases in import prices stemming from the decline in the foreign exchange value of the dollar, could boost inflation pressures.",2008,1,264,Hawkish,39,239,HAWKISH,1
1050,"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial developments.",2004,2,990,Neutral,29,216,NEUTRAL,2
242,"However, a couple of participants noted that the recent oil price decline could also be associated with increasing oil supply rather than softening global demand.",1996,0,233,Dovish,25,162,NEUTRAL,2
618,"On average, over the period from November 2020 to January 2021, the fraction of prime-age women with children aged 6 to 17 who were out of the labor force for caregiving had increased by 2.4 percentage points from a year earlier, while for men the fraction had increased by about 0.6 percentage point.5 If not soon reversed, the decline in the participation rate for primeâ€‘age women could have scarring effects, with longer-term implications for household incomes and potential growth.6 Roughly 90 percent of the shortfall in private payroll employment relative to the pre-COVID level is concentrated in service-providing industries, with half of these service job losses in leisure and hospitality.",2017,0,598,Dovish,110,701,DOVISH,0
585,"My colleagues and I are acutely aware that high inflation imposes significant hardship, especially on those least able to meet the higher costs of essentials like food, housing, and transportation.",2013,1,567,Hawkish,30,197,HAWKISH,1
921,"To be sure, the prices of assets and the level of debt seem to reflect expectations of a benign economic environment--one in which policy will tighten only gradually, the economy will continue to strengthen and inflation will remain low, and the demand for houses and equities will remain solid.",2021,0,893,Dovish,49,295,NEUTRAL,2
132,If you lay the crosscurrents on top of that—concerns about global growth and trade developments—you have the full picture.,2021,2,127,Neutral,19,122,DOVISH,0
226,Econometric methods were also refined to improve estimation and to accommodate more-complex dynamics in money demand equations.,2000,2,222,Neutral,17,127,NEUTRAL,2
377,"If the public expects that inflation will remain low and stable over time, then, absent major shocks, it likely will.",2006,2,367,Neutral,20,117,DOVISH,0
255,"The problem with the current situation is that, that if you have a sustained period of supply shocks, those can actually start to undermine or to work—to work on de-anchoring inflation expectations.",2012,1,250,Hawkish,32,198,HAWKISH,1
767,"The current global environment highlights the importance of having strong analytic and empirical foundations to understand financial stability considerations for monetary policy, and the research presented today will help strengthen those foundations.1 The global environment of high inflation and rising interest rates highlights the importance of paying attention to financial stability considerations for monetary policy.",2004,1,745,Hawkish,55,424,NEUTRAL,2
913,"The hurricanes were also expected to depress payroll employment in September, with a reversal over the next few months.",2000,2,863,Neutral,19,119,NEUTRAL,2
442,"In some models, these factors can be explicitly tied to observable economic variables, such as inflation; in other models, the factors represent statistical summaries of the data and have no explicit economic interpretations.",2021,2,429,Neutral,33,225,NEUTRAL,2
1011,"With regard to our price-stability mandate,",2005,2,979,Neutral,6,43,NEUTRAL,2
268,"These measures, along with our strong guidance on interest rates and on our balance sheet, will ensure that monetary policy will continue to support the economy until the recovery is complete.",2022,0,263,Dovish,31,192,DOVISH,0
654,Price shocks.,2005,2,633,Neutral,2,13,NEUTRAL,2
20,"A major concern that I have about the bubble-popping strategy, however, is that attempts to bring down stock prices by a significant amount using monetary policy are likely to have highly deleterious and unwanted side effects on the broader economy.",1998,0,19,Dovish,40,249,DOVISH,0
764,The combination of a commitment to condition liftoff on the sustained achievement of our employment and inflation objectives with yield curve caps targeted at the same horizon has the potential to work well in many circumstances.,2005,2,742,Neutral,36,229,NEUTRAL,2
400,"In addition, U.S. inflation remains muted.",2000,0,388,Dovish,6,42,DOVISH,0
534,"Members agreed that their policy decisions would remain data dependent, and they continued to include wording in the statement noting that if incoming information indicates faster progress toward the Committee's employment and inflation objectives than the Committee now expects, then increases in the target range for the federal funds rate would likely occur sooner than currently anticipated, and, similarly, that if progress proves slower than expected, then increases in the target range would likely occur later than currently anticipated.",1998,2,505,Neutral,79,545,NEUTRAL,2
949,"The producer price index for core intermediate materials dropped for a fifth month in February, reflecting, in part, weaker global demand and steep declines in the prices of a wide variety of energy-intensive goods, such as chemicals and plastics.",2012,0,897,Dovish,39,247,DOVISH,0
494,Inflation averaging doesn't define how much above 2 percent is moderate and how long some value of elevated inflation should be tolerated.,2005,1,478,Hawkish,22,138,NEUTRAL,2
436,"In particular, we may need additional public communications about the conditions that constitute substantial further progress since December toward our broad and inclusive definition of maximum employment.",2005,0,423,Dovish,27,205,DOVISH,0
803,"Some saw a risk that inflationary pressures might develop more rapidly than currently anticipated as resource utilization tightened,",2017,1,758,Hawkish,18,132,HAWKISH,1
293,increases in expected inflation will thus tend to promote greater actual inflation.,2004,2,285,Neutral,12,83,HAWKISH,1
845,"The Committee directs the Desk to purchase GSE debt, GSE-guaranteed MBS, and longer-term Treasury securities during the intermeeting period with the aim of providing support to private credit markets and economic activity.",2001,0,796,Dovish,32,222,DOVISH,0
513,survey-based measures of longer-term inflation expectations are little changed.,2020,2,489,Neutral,9,79,NEUTRAL,2
458,"It was possible, though, that investors' uncertainty regarding inflation prospects, not just inflation expectations themselves, had risen.",2021,1,437,Hawkish,17,138,NEUTRAL,2
644,"Overall, research indicates that trade with developing economies in particular has slowed the rate of growth of import prices faced by industrialized countries, with estimates of the reduction ranging widely from 1/2 to 2 percentage points.",2007,2,623,Neutral,36,240,DOVISH,0
494,"Major stock price indexes were up a bit over the intermeeting period, as positive first-quarter earnings reports more than offset the negative effects of higher energy prices and rising interest rates.",2017,1,473,Hawkish,31,201,NEUTRAL,2
163,"Continued gains in employment and income, high household net worth, and low gasoline prices were viewed as factors that should support consumer spending in coming months.",2014,1,159,Hawkish,26,170,NEUTRAL,2
626,"One might even argue that if a central bank ever converged on a single monetary rule, there would be no need for a monetary policy committee.",2020,2,606,Neutral,26,141,NEUTRAL,2
644,One member was persuaded that policy had already become so expansionary that further easing ran an unacceptable risk of exacerbating inflation over time.,1999,1,611,Hawkish,23,153,HAWKISH,1
546,"May 21, 2020 U.S. Economic Outlook and Monetary Policy Vice Chair Richard H. Clarida At the New York Association for Business Economics, New York, New York (via webcast) Share Accessible Keys for Video [Space Bar] toggles play/pause; [Right/Left Arrows] seeks the video forwards and back (5 sec ); [Up/Down Arrows] increase/decrease volume; [M] toggles mute on/off; [F] toggles fullscreen on/off (Except IE 11); The [Tab] key may be used in combination with the [Enter/Return] key to navigate and activate control buttons, such as caption on/off.",2017,2,528,Neutral,85,546,NEUTRAL,2
599,"Nevertheless, a number of participants cited notable declines in survey measures of consumer confidence since the onset of financial turbulence in mid-summer, along with sharply higher oil prices, declines in house prices, and tighter underwriting standards for home equity loans and some types of consumer loans, as factors likely to restrain consumer spending going forward.",2006,0,568,Dovish,55,376,DOVISH,0
101,"As of this month, the maximum monthly reduction in the balance sheet will be nearly double the level of the previous cycle.10 Together, the increase in the policy rate and the reduction in the balance sheet should help bring demand into alignment with supply.",2022,1,100,Hawkish,44,259,HAWKISH,1
790,Some participants judged that a less accommodative future stance of policy would likely be warranted and that the Committee should convey a strong commitment to address elevated inflation pressures.,2006,1,747,Hawkish,29,198,HAWKISH,1
150,But dividing that nominal value change into components representing changes in real quantity versus price requires that one define a unit of output that is to remain constant in all transactions over time.,2021,2,148,Neutral,33,205,NEUTRAL,2
873,"The absence of further large gains in stock prices, should recent trends persist, would remove this stimulus and probably induce some moderation in the growth of consumer spending.",2010,2,824,Neutral,28,180,DOVISH,0
895,"This paper develops and estimates a habit persistence consumption asset pricing model in which the sign of the equilibrium covariance between equity and bond returns depends on the reduced-form correlation between inflation and the output gap, the correlation between the federal funds rate and the output gap, as well as the equilibrium persistence of inflation.",1999,2,868,Neutral,55,363,NEUTRAL,2
3,"A couple of participants noted that uncertainties concerning both the level of, and the source of shifts in, potential output made it difficult to base decisions about monetary policy on real-time measures of the output gap.",2011,2,3,Neutral,36,224,NEUTRAL,2
119,"I mean, it really depends on how long it takes for wages and, more than that, prices to come down for inflation to come down.",2019,1,114,Hawkish,25,125,HAWKISH,1
134,"If you look at the number of job openings compared to the number of unemployed, it’s—we’re, we’re clearly on a path to a very strong labor market with high participation, low unemployment, high employment, wages moving up across the spectrum.",2021,1,129,Hawkish,40,242,HAWKISH,1
670,"Rather than rely on Fed watchers employed by primary dealers to read the tea leaves of our daily interventions, we inform everyone, openly, and take responsibility for the level of short-term interest rates.",2005,2,649,Neutral,33,207,NEUTRAL,2
228,"So, you know, I can’t—all I can tell you is, we’ll be looking at weak global growth.",2014,0,223,Dovish,17,84,DOVISH,0
991,"While I will carefully monitor inflation expectations, it will be important to see a sustained improvement in actual inflation to meet our average inflation goal.",1999,0,962,Dovish,25,162,HAWKISH,1
257,"First, the significant appreciation of the dollar over the last two years has clearly had an important restraining effect on U.S. inflation, both via the direct effect on the prices of imported goods and on the pricing power of domestic firms producing import-competing goods.",2001,0,252,Dovish,44,276,DOVISH,0
690,"Since June, however, inflation fears have receded, and some financial-market participants have become less optimistic about the economy's near-term growth prospects.",2020,0,669,Dovish,21,165,DOVISH,0
665,"Participants also observed that crude oil prices fell over the intermeeting period and other commodity prices also moderated, developments that were likely to damp headline inflation at the consumer level going forward.",2003,0,631,Dovish,32,219,DOVISH,0
447,"In the 1988-90 period, the behavior of crude oil prices, unemployment, and the exchange rate were not especially surprising or anomalous.",2022,2,434,Neutral,21,137,NEUTRAL,2
52,"And, and that’s why we have adopted the flexible average inflation-targeting framework.",2015,0,51,Dovish,12,87,DOVISH,0
1038,"They generally judged that risks to the growth outlook, including strains in global financial markets, were significant and tilted to the downside",1996,0,980,Dovish,22,146,DOVISH,0
651,"Others indicated that because part of the recent decline in the jobless rate was associated with a reduction in labor force participation, the drop in the unemployment rate likely overstated the overall improvement in the labor market.",2019,0,617,Dovish,37,235,NEUTRAL,2
154,"But if our assessment is correct that inflation is temporary, it would be unwise for us to take actions that might slow the recovery prematurely by trying to stay ahead of inflation, when our best estimate is that we are not far behind.",2000,0,152,Dovish,43,236,DOVISH,0
609,"Nonetheless, participants noted a risk that the drop-back in inflation could be slower or more limited than the Committee would find desirable since resource utilization was currently tight and the pickup in price increases had been broadly based rather than being limited to a few specific sectors that could be linked to energy costs.",2019,1,578,Hawkish,54,336,HAWKISH,1
7,An unexpectedly sharp increase in wages or inflation could tell you that you’re reaching those points.,2018,1,7,Hawkish,16,102,HAWKISH,1
890,The downside risks from the possibility that longer-term inflation expectations may have edged down or that the dollar could appreciate substantially were seen as roughly counterbalanced by the upside risk that inflation could increase more than expected in an economy that was projected to continue operating above its longer-run potential.,2011,2,841,Neutral,50,341,NEUTRAL,2
181,"By reducing our scope to support the economy by cutting interest rates, the lower bound increases downward risks to employment and inflation.22 To counter these risks, we are prepared to use our full range of tools to support the economy.",2013,0,179,Dovish,40,238,DOVISH,0
781,"The events of the last two years come on top of a huge expansion of global trade, competition and productive capacity--all of which have given American businesses less control over prices in the face of rising costs and benefited American consumers through low prices.",2013,2,758,Neutral,44,268,DOVISH,0
576,"Moreover, the outlook for foreign economic activity also appeared a bit weaker.",2002,2,546,Neutral,12,79,DOVISH,0
331,His conclusion is that only by far-reaching decentralization in a market system with competition and free price-fixing is it possible to make full use of knowledge and information.,2021,2,322,Neutral,28,180,NEUTRAL,2
349,"In particular, participants judged that communicating the Committee's expectation that short-term interest rates were likely to stay exceptionally low for some time could be useful because it could lead to pricing of longer-term interest rates consistent with the path of monetary policy that policymakers saw as most likely.",2003,0,334,Dovish,48,325,DOVISH,0
500,"Inflation-targeting regimes make sense only if the central bank has independent control of the instruments of monetary policy, as holding the central bank responsible for meeting its inflation target is hardly possible otherwise.",1998,2,484,Neutral,33,229,NEUTRAL,2
685,"Second, the correction in equity prices points to a downward revision to consumer spending and to business fixed investment and residential construction as well.",2006,0,664,Dovish,24,161,DOVISH,0
218,"So you’re going to have different perspectives from Committee participants about how fast growth will be, how fast the labor market will heal, or how fast—sorry, inflation will move up.",2019,1,213,Hawkish,30,185,NEUTRAL,2
974,We should first recognize that the form of the U.S. government is different than that of most inflation-targeting countries.,2003,2,945,Neutral,19,124,NEUTRAL,2
517,"most survey-based measures of longer-term inflation expectations were little changed, on balance, in recent months.",2013,2,491,Neutral,15,115,NEUTRAL,2
963,We can best promote a progressive credit climate by maintaining an environment of low inflation.,2003,1,934,Hawkish,15,96,HAWKISH,1
957,The recent information on inflation was seen as disappointing.,2011,2,904,Neutral,9,62,HAWKISH,1
424,"Indeed, financial services firms had already announced layoffs, largely reflecting mortgage market developments, the demand for temporary workers appeared to have softened, and the most recent weakening in construction employment was likely to continue for a while.",2022,0,407,Dovish,37,265,DOVISH,0
778,"So far this year, payroll employment had expanded at a faster pace than last year and the unemployment rate had declined further, although it remained elevated.",2018,2,735,Neutral,26,160,NEUTRAL,2
888,The demand for commercial paper declined as prime money market mutual funds experienced large net outflows after the net asset value of one such fund fell below $1 per share.,2018,2,839,Neutral,30,174,NEUTRAL,2
68,"Although the pace of job losses was moderating, the unusually large fraction of those who were working part time for economic reasons and the unusually low level of the average workweek pointed to only a gradual decline in the unemployment rate as the economic recovery proceeded.",2018,0,68,Dovish,46,280,NEUTRAL,2
621,"Nonetheless, with the unemployment rate anticipated to increase somewhat during the remainder of 2009 and to decline only gradually in 2010, the staff still expected core PCE inflation to slow substantially over the forecast period; the very low readings on hourly compensation lately suggested that such a process might already be in train.",1996,0,589,Dovish,53,341,DOVISH,0
178,"By definition, multifactor productivity includes technical change, organizational improvements, cyclical factors, and myriad other influences on output per hour, apart from capital investment.",2013,2,176,Neutral,23,192,NEUTRAL,2
166,"Last year, we had 1.9 percent productivity, which is much higher.",2012,0,161,Dovish,11,65,NEUTRAL,2
912,"The household saving rate, which had already risen considerably, would eventually level out and cease to hold back consumption growth.",2000,2,862,Neutral,20,134,DOVISH,0
878,"This direction of causality may obscure the negative relationship, running from higher inflation to lower growth, presumed to hold in the longer term.",2003,1,851,Hawkish,23,150,NEUTRAL,2
864,These decisions can then push up prices even more and make inflation harder to get under control.,2003,1,837,Hawkish,17,97,HAWKISH,1
912,"Thus, knowing where productivity growth is headed is, in many respects, equivalent to foreseeing our economic destinies.",2003,2,885,Neutral,17,120,NEUTRAL,2
315,"Given stable prices, savers and investors have more confidence about the ultimate value of their investments.",1998,1,307,Hawkish,16,109,NEUTRAL,2
247,"However, core inflation had been subdued in recent months and longer-run inflation expectations remained contained.",1998,0,238,Dovish,15,115,DOVISH,0
129,"If we don’t see the improvement that’s projected in the baseline outlook, that the June 18, 2014 opposite would be true and the pace of the timing and pace of interest rate increases would be Chair Yellen’s Press Conference FINAL later and more gradual.",2016,2,124,Neutral,44,253,DOVISH,0
1085,"While favorable financing would help to sustain the housing sector, members anticipated that any further impetus to growth from that sector was likely to be limited.",2002,2,1025,Neutral,26,165,NEUTRAL,2
321,also how far it will fall and if it will fall soon enough to avoid spurring a concerning rise in longer-term inflation expectations.,1998,1,312,Hawkish,23,132,HAWKISH,1
590,"falling non-oil import prices likely subtracted 1/4 percentage point from the annual rate of core inflation.10 Finally, the trajectory of federal government debt relative to GDP and views regarding the debt's sustainability can also influence the effects of fiscal policy.",2021,2,572,Neutral,40,272,NEUTRAL,2
105,"As the economy approached full employment, the Federal Open Market Committee (FOMC), the monetary policymaking arm of the Federal Reserve System, was faced with the classic problem of managing the mid-cycle slowdown--that is, of setting policy to help guide the economy toward sustainable growth without inflation.",2022,1,104,Hawkish,46,314,NEUTRAL,2
460,"Job gains had been robust in recent months, and the unemployment rate had declined substantially.",2021,1,439,Hawkish,15,97,NEUTRAL,2
825,The simplest answer is that interest rates should vary to imitate qualitatively the way they would behave if the Fed were implementing a money supply target.,2017,2,802,Neutral,26,157,NEUTRAL,2
938,The nominal deficit on U. S. trade in goods and services narrowed somewhat in August from a high rate in July,2016,0,886,Dovish,21,109,NEUTRAL,2
759,"The bulk of the variation comes from what finance academics call ""changes in discount rates,"" which is a fancy way of saying the non-fundamental stuff that we don't understand very well--and which can include changes in either investor sentiment or risk aversion, price movements due to forced selling by either levered investors or convexity hedgers, and a variety of other effects that fall under the broad heading of internal market dynamics.",2021,2,737,Neutral,71,445,NEUTRAL,2
398,"In addition to the headwinds facing demand, there could be persistent effects on the supply side of the economy.",2021,0,386,Dovish,19,112,NEUTRAL,2
424,"In my baseline view, while I do believe it will likely take some time for economic activity and the labor market to fully recover from the pandemic shock, I do project right now that the economy will begin to grow and that the unemployment rate will begin to decline starting in the second half of this year.",1999,0,411,Dovish,57,308,DOVISH,0
388,"In 2019, sluggish growth abroad and global developments weighed on investment, exports, and manufacturing in the United States,",2022,0,377,Dovish,18,127,DOVISH,0
961,"The review of regional economic developments by the Federal Reserve Bank presidents pointed to moderate expansion in economic activity across much of the nation, though growth was described as modest in a few regions and relatively robust in some others.",2019,2,908,Neutral,40,254,NEUTRAL,2
668,Participants commented on the continued improvement in labor market conditions in recent months driven by strong demand for workers.,2003,2,633,Neutral,19,132,NEUTRAL,2
214,So we do say that risks to the financial system—we say in our longer-run statement of goals and monetary policy strategy that risks to the financial system that could prevent us from achieving our goals are something that we do take into consideration.,2021,2,209,Neutral,43,252,NEUTRAL,2
484,"Indeed, scattered evidence dating back to ancient Rome and before reflects the same order of interest rate magnitude, not a one percent interest rate nor 200 percent.",2005,2,468,Neutral,27,166,NEUTRAL,2
758,"The bottom line is that past performance, in several important dimensions, has been extraordinary and that prospects look favorable for continued expansion and relatively low inflation.",2021,0,736,Dovish,26,185,NEUTRAL,2
1006,"The unemployment rate was likely to remain low going forward, and various participants remarked that there were some indications that further strengthening in overall labor market conditions was possible without creating undesirable pressures on resources.",2003,2,949,Neutral,35,256,DOVISH,0
398,"In their discussion of monetary policy for the period ahead, members agreed that it would be appropriate to maintain the existing highly accommodative stance of monetary policy.",2021,0,382,Dovish,27,177,DOVISH,0
233,"Even before the recent unfortunate developments in the Middle East, demand to augment buffer stocks surged, which has helped to keep prices high.",2003,1,229,Hawkish,23,145,NEUTRAL,2
791,"The growth of subprime mortgage lending is one indication of the extent to which access to credit has increased for all households, including those with lower incomes.",1997,2,768,Neutral,27,167,NEUTRAL,2
320,"You know, what you hear out there is that demand—you talk to banks, and they’ll say demand for loans is very, very low right now.",2014,0,313,Dovish,25,129,DOVISH,0
225,"During the period examined, the rate of overall consumer inflation was 2.78 percent, as measured by the regular CPI-U for All Items.",2000,1,221,Hawkish,22,132,NEUTRAL,2
190,"Smoothing through these variations, average monthly job growth appears to have stepped down from last year’s strong pace, but job gains remain well above the pace necessary to provide jobs for new labor force entrants.",2020,2,185,Neutral,35,218,HAWKISH,1
1061,"To some, the continued subdued trend in wages was evidence of an absence of upward pressure on inflation from current levels of labor utilization.",1998,0,1001,Dovish,24,146,DOVISH,0
164,"But strong demand and a very tight labor market have also contributed to inflation pressures, and the FOMC can help alleviate those pressures by removing the extraordinary monetary policy accommodation that is no longer needed.",1997,1,162,Hawkish,35,227,HAWKISH,1
1028,"These participants stated that, in such circumstances, a major challenge facing policymakers—especially in the presence of the effective lower bound on the federal funds rate—was to maintain a policy stance sufficiently accommodative to keep average inflation at 2 percent and thereby bolster the credibility of the Committee's new policy framework, facilitating the achievement of both maximum employment and price stability.",2007,0,970,Dovish,60,426,DOVISH,0
593,"Mr. Kocherlakota dissented because, in his view, the new forward guidance in the fifth paragraph of the statement would weaken the credibility of the Committee's commitment to its inflation goal by failing to communicate purposeful steps to more rapidly increase inflation to the 2 percent target and by suggesting that the Committee views inflation persistently below 2 percent as an acceptable outcome.",2005,0,563,Dovish,62,404,DOVISH,0
115,"Auctions of GSE debt following the conservatorship announcement reportedly attracted heavy demand, but market participants indicated that liquidity in the secondary market for GSE debt remained somewhat lower than normal.",2018,2,112,Neutral,30,221,NEUTRAL,2
